name:slash
age:12
gamer:
type:/
BEGIN
739.2857055664063,727.7142944335938
725.556396484375,735.072509765625
718.8633422851563,741.3197631835938
712.0499877929688,746.9417114257813
686.5581665039063,769.8062133789063
659.9821166992188,790.718994140625
637.6102905273438,806.9619750976563
614.1718139648438,822.2066650390625
588.7457885742188,837.0482788085938
562.71435546875,851.6755981445313
523.2763671875,875.3060302734375
512.4832153320313,881.580810546875
471.641845703125,906.793212890625
436.8674621582031,930.7760009765625
413.6573791503906,945.8673095703125
389.4989013671875,962.7342529296875
366.70928955078125,978.17138671875
351.41387939453125,988.6630859375
343.6250305175781,993.7943115234375
332.1221008300781,1001.7275390625
317.0727844238281,1009.4803466796875
308.1433410644531,1013.9483642578125
300.4957580566406,1018.254150390625
294.01824951171875,1021.6285400390625
285.71429443359375,1025.5712890625
278.45556640625,1029.0556640625
271.8749694824219,1035.0
END
